1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,consultazione,estrazione,fonte,gruppo_camera,non assegnato,paragrafi,partito_lista,politica non tematica
5.71,,1.43,1.43,4.29,,,2.86,7.14,2.86,30.0,2.86,5.71,4.29,17.14,politiche2018,ocr,viminale,,11.43,70,ITALIA EUROPA INSIEME,2.86
25.0,,,50.0,,25.0,,,,,,,,,,politiche2018,ocr,viminale,,,4,IL POPOLO DELLA FAMIGLIA,
6.73,,7.69,0.96,8.65,,,3.85,12.5,2.88,14.42,0.96,8.65,5.77,22.12,politiche2022,ocr,viminale,,4.81,104,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,
2.33,2.33,2.33,2.33,2.33,,,4.65,,16.28,48.84,2.33,2.33,4.65,,politiche2018,ocr,viminale,,9.3,43,Per una Sinistra Rivoluzionaria,
18.18,3.03,,6.06,3.03,6.06,,3.03,6.06,6.06,15.15,,6.06,3.03,3.03,politiche2018,ocr,viminale,,18.18,33,DESTRE UNITE - AEMN,3.03
,,16.67,,,,,,33.33,16.67,,16.67,,16.67,,politiche2018,ocr,viminale,,,6,PARTITO VALORE UMANO,
,8.57,5.71,8.57,5.71,5.71,,5.71,5.71,8.57,17.14,5.71,2.86,,2.86,politiche2018,ocr,viminale,,17.14,35,"""SMS"" ( STATO MODERNO SOLIDALE)",
,,,,20.0,,,,80.0,,,,,,,politiche2018,nativa,viminale,,,5,SUDTIROLER VOLKSPARTEI (SVP),
,,,,,,,11.76,17.65,5.88,,,,5.88,,politiche2018,nativa,viminale,,52.94,17,Movimento Politico PATTO PER L'AUTONOMIA,5.88
10.0,20.0,,15.0,,,,10.0,,30.0,,,,5.0,,politiche2018,ocr,viminale,,,20,ITALIA AGLI ITALIANI,10.0
,,11.11,,,,,,55.56,,,,,,,politiche2018,ocr,viminale,,33.33,9,MOVIMENTO POLITICO ITALIA NEL CUORE,
12.66,,,1.27,1.27,2.53,,2.53,2.53,12.66,49.37,3.8,2.53,,2.53,politiche2018,ocr,viminale,,6.33,79,PARTITO COMUNISTA,
,,,,,22.22,,,11.11,11.11,22.22,11.11,,,11.11,politiche2018,nativa,viminale,,11.11,9,MIR ITALIA,
6.19,,2.65,1.77,1.77,2.65,,,17.7,22.12,14.16,,7.08,8.85,5.31,politiche2018,nativa,viminale,,9.73,113,LISTA DEL POPOLO PER LA COSTITUZIONE,
20.0,6.67,,6.67,6.67,,,6.67,20.0,6.67,6.67,6.67,,6.67,6.67,politiche2018,nativa,viminale,,,15,MOVIMENTO POLITICO FORZA ITALIA,
9.09,9.09,,9.09,,,,9.09,27.27,9.09,,9.09,,9.09,9.09,politiche2018,nativa,viminale,,,11,NOI CON L'ITALIA - UDC,
8.39,1.94,1.94,0.65,1.94,0.65,,3.23,4.52,21.29,21.94,5.81,3.87,4.52,8.39,politiche2018,nativa,viminale,,10.32,155,"ASSOCIAZIONE ""+EUROPA""",0.65
,,,,,,,,,,,,,,,politiche2018,nativa,viminale,,100.0,105,LIBERI E UGUALI,
,6.25,,6.25,,18.75,,,6.25,12.5,12.5,12.5,6.25,6.25,6.25,politiche2018,ocr,viminale,,6.25,16,FRONTE FRIULANO - FRONT FURLAN,
5.0,5.0,10.0,5.0,,,,10.0,5.0,10.0,10.0,,,5.0,,politiche2018,ocr,viminale,,35.0,20,PARTITO REPUBBLICANO ITALIANO-ALA,
20.0,,,20.0,,20.0,,,,,20.0,,,,,politiche2018,ocr,viminale,,20.0,5,BLOCCO NAZIONALE PER LE LIBERTA',
4.35,6.52,2.17,,6.52,4.35,,,4.35,2.17,28.26,8.7,,6.52,4.35,politiche2018,ocr,viminale,,21.74,46,CIVICA POPOLARE LORENZIN,
,3.33,3.33,3.33,,3.33,,1.67,10.0,21.67,13.33,3.33,1.67,8.33,5.0,politiche2018,ocr,viminale,,18.33,60,PPA MOVIMENTO POLITICO PENSIERO AZIONE,3.33
7.69,,3.85,3.85,3.85,7.69,,1.92,5.77,13.46,25.0,5.77,1.92,7.69,1.92,politiche2018,ocr,viminale,,9.62,52,PARTITO DEMOCRATICO,
6.25,6.25,,12.5,,,,6.25,18.75,12.5,6.25,6.25,,6.25,6.25,politiche2018,nativa,viminale,,12.5,16,FRATELLI D'ITALIA CON GIORGIA MELONI,
13.95,6.98,2.33,4.65,9.3,,,,4.65,4.65,9.3,2.33,4.65,16.28,6.98,politiche2018,ocr,viminale,,13.95,43,AUTODETERMINATZIONE,
