partito_lista,gruppo_camera,fonte_programma,paragrafi,atti,h1_variazione_totale_pp,affidabile
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,wayback,221,358,23.39,si
LEGA PER SALVINI PREMIER,LEGA - SALVINI PREMIER,wayback,988,681,24.26,si
MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,wayback,976,709,24.83,si
FORZA ITALIA,FORZA ITALIA - BERLUSCONI PRESIDENTE,wayback,82,358,25.06,no
FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA,wayback,145,593,30.59,si
