review_id,source_row_index,topic_id,tipo_selezione,selection_rank,domain,seendate,title,url,estratto,peso_topic_dominante,confidenza_topic,termini_caratteristici,valutazione_preliminare,reviewer_id,protocol_version,fase_revisione,classificazione_umana,etichetta_tema_proposta,boilerplate_si_no,duplicato_sospetto_si_no,decisione_inclusione,note_revisore
T05-ARTIFACT_CHECK-01,37686,5,artifact_check,1,iltempo.it,2026-03-23,Il Ministro Tajani vota per il referendum sulla giustizia a Fiuggi – Il Tempo,https://www.iltempo.it/video-news-by-vista/2026/03/23/video/il-ministro-tajani-vota-per-il-referendum-sulla-giustizia-a-fiuggi-46940996/,"Il Ministro Tajani vota per il referendum sulla giustizia a Fiuggi - Il presidente Rocca a Il Tempo: mascherine, se il pasticcio di Zingaretti l'avesse fatto il centrodestra... - PubblicitÃ - UNESCO, per la prima volta le Consulte studentesche ai lavori del Comitato di alto livello. Valditara: “Italia protagonista anche per il modello di partecipazione studentesca ai processi decisionali” - Alessandro Bertoldi a Come States? — Trump, Nato, Milei e il futuro dell'Occidente (Agenzia Vista) Fiuggi,",0.1871581211768352,0.9711450440867756,"agenzia vista, agenzia, il tempo, bertoldi states, nato milei, states trump, livello valditara, centrodestra pubblicit, decisionali alessandro, studentesca ai, studentesche ai, partecipazione studentesca",possibile artefatto: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T06-ARTIFACT_CHECK-01,38565,6,artifact_check,1,ilmessaggero.it,2026-05-18,Mondiali 2026,https://www.ilmessaggero.it/fotogallery/sport/mondiali_2026_fifa-9539600.html,"Scioperi 13-19 luglio 2026: treni, traghetti e bus a rischio. Le città e le regioni coinvolteSalvaSalvata È morto Peppino di Capri, quando confessò il suo rimpianto: «Ho trascurato troppo l’estero»SalvaSalvata Dolci Crostata Sacher senza cottura, la variante facilissima della torta più amata di Virginia Fabbri Antipasti Pomodori gratinati: il piatto che sa di lunghe tavolate, amici e antipasti da condividere di Francesca Montinaro VIAGGIScioperi 13-19 luglio 2026: treni, traghetti e bus a rischi",0.2461001363424797,0.9999639237197332,"websalvasalvata, redazione websalvasalvata, redazione, di redazione, antipasti, traghetti bus, luglio treni, treni traghetti, bus rischio, coinvoltesalvasalvata, regioni coinvoltesalvasalvata, traghetti",possibile artefatto: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T07-ARTIFACT_CHECK-01,38969,7,artifact_check,1,iltempo.it,2026-06-10,"Meloni ""L'Italia non è la repubblica delle banane"" – Il Tempo",https://www.iltempo.it/pillole/2026/06/10/video/meloni-l-italia-non-e-la-repubblica-delle-banane--48106380/,Cerca Più su questo argomento Cerca CHI SIAMO POLITICA ATTUALITÀ ESTERI ROMA CAPITALE PERSONAGGI OPINIONI IL TEMPO TV CORRIERE DI RIETI CORRIERE DI VITERBO Edicola digitale Cerca + In evidenza Inchiesta Italia-Hamas Medici della vergogna Agorà Lazio Terrorismo Sezioni HOME POLITICA Superpodio #iltempodioshø ROMA CAPITALE ATTUALITA' ESTERI ECONOMIA Sport METEO PERSONAGGI OPINIONI&COMMENTI IL TEMPO TV Le Stelle di Branko Spettacoli Spettacoli & TV AltroTempo Motori Gusto Salute & Benessere Blog VI,0.2540509422483261,0.9973217473610108,"corriere di, personaggi opinioni, attualita esteri, carlo antini, tempo tv, rieti corriere, antini, edicola digitale, controtempo, di rieti, chi siamo, di viterbo",possibile artefatto: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T08-RANDOM_SEED_42-01,46054,8,random_seed_42,1,ansa.it,2026-03-05,"'Gli usa fuori dal diritto', il governo frena sulle basi - Notizie - Ansa.it",https://www.ansa.it/sito/notizie/politica/2026/03/05/conflitto-in-iran-crosetto-e-tajani-in-aula_16a66252-4355-4a8f-b2ef-3f4c6fa69f46.html,"""Certo che è stata al di fuori delle regole del diritto internazionale"". Arriva in una risposta di Guido Crosetto alle urla di protesta delle opposizioni il primo giudizio esplicito del governo sull'operazione avviata da Usa e Israele in Iran. Un conflitto ""partito all'insaputa del mondo, ""che ""non abbiamo voluto"" e ""che ora ci si trova a gestire"", chiarisce il ministro della Difesa, le cui comunicazioni al Parlamento, in tandem con quello degli Esteri Antonio Tajani, sono precedute di primo mat",0.0407581870685873,0.651876784650117,"trump, meloni, iran, tajani, ministro, uniti, stati uniti, usa, stati, esteri, guerra, premier",topic utile: caso casuale da verificare,R1,1.0,indipendente,,,,,,
T08-RANDOM_SEED_42-02,47484,8,random_seed_42,2,ilmessaggero.it,2026-04-21,Tajani: Accantonata la sospensione dell'accordo commerciale Ue con Israele,https://www.ilmessaggero.it/speciali/quieuropa/tajani_accantonata_la_sospensione_dell_accordo_commerciale_ue_con_israele-9486996.html,"LUSSEMBURGO - ""E' stata definitivamente accantonata la proposta di sospendere l'accordo commerciale con Israele, si parlerà l'11 maggio alla prossima riunione dei ministri di altre iniziative che si possono fare e valuteremo"". Lo ha detto il ministro degli Esteri Antonio Tajani, a margine del Consiglio Ue Esteri. ""In Italia abbiamo sospeso la conferma automatica del memorandum sulla difesa con Israele, le pressioni le stiamo facendo, ma devono essere pressioni sul governo, non sulla popolazione ",0.0308648107639799,0.6047041218018431,"trump, meloni, iran, tajani, ministro, uniti, stati uniti, usa, stati, esteri, guerra, premier",topic utile: caso casuale da verificare,R1,1.0,indipendente,,,,,,
T08-RANDOM_SEED_42-03,52491,8,random_seed_42,3,lagazzettadelmezzogiorno.it,2026-06-17,"Mattarella a Venezia per il Summit Cotec Europa, le immagini - Gazzetta del Mezzogiorno",https://www.lagazzettadelmezzogiorno.it/video/ultima-ora/2018350/mattarella-a-venezia-per-il-summit-cotec-europa-le-immagini.html,"Mattarella a Venezia per il Summit Cotec Europa, le immagini Mattarella a Venezia per il Summit Cotec Europa, le immagini Mattarella a Venezia per il Summit Cotec Europa, le immagini Mattarella a Venezia per il Summit Cotec Europa, le immagini",0.0058649906675942,0.4523881086192305,"trump, meloni, iran, tajani, ministro, uniti, stati uniti, usa, stati, esteri, guerra, premier",topic utile: caso casuale da verificare,R1,1.0,indipendente,,,,,,
T08-TOP_WEIGHT-01,39806,8,top_weight,1,repubblica.it,2026-04-09,"Guerra in Iran, le news del 9 aprile. Idf: “Evacuare Beirut sud”. Hormuz ancora chiuso - la Repubblica",https://www.repubblica.it/esteri/2026/04/09/diretta/guerra_iran_usa_israele_news_oggi-425271544/,"I raid israeliani in Libano minacciano la tregua e Teheran chiude di nuovo lo Stretto di Hormuz. “In risposta alla violazione dell'accordo di cessate il fuoco da parte del nemico”, Hezbollah ha preso di mira il kibbutz israeliano di Manara, vicino al confine con il Libano, ""con un lancio di razzi"" nelle prime ore di giovedì, si legge in un comunicato della milizia libanese. Trump: “I militari Usa rimangono in Iran fino al raggiungimento dell’accordo”. Ghalibaf sul Libano: “Il tempo sta per scade",0.0929268153474926,0.9398855593639176,"trump, meloni, iran, tajani, ministro, uniti, stati uniti, usa, stati, esteri, guerra, premier",topic utile: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T08-TOP_WEIGHT-02,39908,8,top_weight,2,ilsole24ore.com,2026-04-08,"Guerra in Iran, ultime notizie - Iran blocca Hormuz dopo raid Israele in Libano. Macron: tregua deve includerlo - Il Sole 24 ORE",https://www.ilsole24ore.com/art/israele-appoggia-l-accordo-tregua-ma-sottolinea-non-include-libano-AIVem8NC,"08 aprile 2026 Guerra in Iran, ultime notizie - Iran blocca Hormuz dopo raid Israele in Libano. Macron: tregua deve includerlo Tregua in extremis Usa-Iran allo scadere dell’ultimatum lanciato da Trump, ma Israele sfida l’accordo e devasta il Libano. Il cessate il fuoco di due settimane annunciato nella notte dal tycoon grazie alla mediazione del Pakistan fa crollare i prezzi di petrolio e gas ma non ferma Netanyahu che lancia l’operazione ’oscurità eterna’ contro Hezbollah. Centinaia di morti e ",0.0920301095489985,0.9316696708941904,"trump, meloni, iran, tajani, ministro, uniti, stati uniti, usa, stati, esteri, guerra, premier",topic utile: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T08-TOP_WEIGHT-03,39900,8,top_weight,3,lastampa.it,2026-04-08,"Guerra Iran, le news dopo lâattacco di Usa Israele. La diretta - La Stampa",https://www.lastampa.it/esteri/2026/04/08/diretta/guerra_iran_usa_israele_news_oggi-15575806/,Spari dallâesercito israeliano su un veicolo Unifil che trasportava anche militari italiani. Il ministro degli Esteri Tajani ha fatto sapere che non ci sono feriti fortunatamente. Lâattacco Ã¨ la sfida di Israele allâaccordo: Tel Aviv sta continuando a colpire il Libano e Beirut e tra lâaltro Teheran ha fatto sapere che punirÃ gli israeliani per questo. Gli attacchi sono massicci in vari quartieri della capitale libanese. Testimonianze parlano di Â«scene apocalitticheÂ» con edifici danneggiati o,0.0918120727766563,0.9322934146178304,"trump, meloni, iran, tajani, ministro, uniti, stati uniti, usa, stati, esteri, guerra, premier",topic utile: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T09-RANDOM_SEED_42-01,63509,9,random_seed_42,1,ilrestodelcarlino.it,2026-07-10,"Asili bollenti, Ara: ""Chiuderli non è la via""",https://www.ilrestodelcarlino.it/bologna/cronaca/asili-bollenti-ara-chiuderli-non-495ef76d,"Con buona pace degli 80 pinguini arrivati dall’assessorato alla Scuola guidato da Daniele Ara, nei nidi (ancora aperti) si bolle. Situazione ""insopportabile"" denunciano dalla Cgil Fp a Sgb passando per Uil Fp, Cobas e Usb. I sindacati chiedono di prevedere, in caso di allerta arancione o rossa, di anticiparne la chiusura. Di questa proposta ""ho parlato lungamente con il sindaco Matteo Lepore - risponde Ara -, ma non siamo dell’idea di ridurre l’orario dei nidi per il disagio ulteriore che creere",0.0191215038776943,0.7421631116967192,"dei, le, dell, da, al, si, euro, regionale, alla, nel, regione, territorio",topic utile: caso casuale da verificare,R1,1.0,indipendente,,,,,,
T09-RANDOM_SEED_42-02,61570,9,random_seed_42,2,ilmattino.it,2026-01-30,"Napoli: «Bilancio, conti stabilizzati e manovre trasparenti, superata la fase più dura»",https://www.ilmattino.it/napoli/politica/bilancio_conti_stabilizzati_manovre_trasparenti_superata_la_fase_piu_dura-9327941.html,"Arriva in Aula l’ultimo di Bilancio previsione della prima consiliatura a guida Gaetano Manfredi, una maratona notturna infinita. E proprio il sindaco ha aperto la seduta con un annuncio che nulla ha a che vedere con il bilancio. «Il 3 marzo - dice il sindaco - si terrà una seduta monotematica su Bagnoli e l’America’s Cup nella sede della Municipalità di Bagnoli». Dove, tra l’altro, in queste ore in via Nuova Bagnoli la pioggia battente ha provocato un dissesto e la chiusura al traffico della vi",0.0298564990141057,0.7906146516019189,"dei, le, dell, da, al, si, euro, regionale, alla, nel, regione, territorio",topic utile: caso casuale da verificare,R1,1.0,indipendente,,,,,,
T09-RANDOM_SEED_42-03,60298,9,random_seed_42,3,larena.it,2026-06-16,Installata nuova barriera idraulica anti inquinamento a Ca’ Filissine | L'Arena,https://www.larena.it/territorio-veronese/valpolicella/installata-nuova-barriera-idraulica-anti-inquinamento-a-ca-filissine-1.13044575,"Quella che era una vera e propria bomba ecologica, passo dopo passo sta per essere completamente disinnescata. Sul problema discarica di Ca’ Filissine si vede sempre più luce in fondo al tunnel: è stato fatto un deciso avanzamento del lungo e complesso processo di messa in sicurezza e bonifica. Nel sito di Balconi è stata infatti installata e attivata una nuova barriera idraulica, definitiva, che sostituisce quella provvisoria e d’emergenza realizzata nel luglio 2024. Il nuovo impianto protegge ",0.0307311938435209,0.8275907516657629,"dei, le, dell, da, al, si, euro, regionale, alla, nel, regione, territorio",topic utile: caso casuale da verificare,R1,1.0,indipendente,,,,,,
T09-TOP_WEIGHT-01,58081,9,top_weight,1,adnkronos.com,2026-05-12,"Cni: ""Rischio idrogeologico? Non solo fondi, da liberi professionisti 'serbatoio competenze' a cui gli enti locali dovrebbero maggiormente attingere""",https://www.adnkronos.com/lavoro/professionisti/cni-rischio-idrogeologico-non-solo-fondi-da-liberi-professionisti-serbatoio-competenze-a-cui-gli-enti-locali-dovrebbero-maggiormente-attingere_28o9St4wqRb1X6ZeJNvDUT,"Ministro Salvini: ""Con 21 mila ponti, viadotti e gallerie da gestire e da osservare tranquillo con lavoro tecnici, ingegneri, architetti e geologi"" Previsioni ed esperienze per una governance efficace delle politiche di tutela del territorio. Questa la sintesi della terza Giornata nazionale della prevenzione e mitigazione del rischio Idrogeologico evento organizzato dal Consiglio nazionale degli ingegneri con il Consiglio nazionale dei geologi e la Fondazione Inarcassa. “L'aver consolidato una g",0.062333479468487,0.9051056380268272,"dei, le, dell, da, al, si, euro, regionale, alla, nel, regione, territorio",topic utile: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T09-TOP_WEIGHT-02,57777,9,top_weight,2,lagazzettadelmezzogiorno.it,2026-07-08,Crisafi (Remind) “Costruiamo insieme l’Italia che abiteremo” - Gazzetta del Mezzogiorno,https://www.lagazzettadelmezzogiorno.it/news/ultima-ora/2046818/crisafi-remind-costruiamo-insieme-litalia-che-abiteremo.html,"Giovedì 09 Luglio 2026, 00:24 ROMA (ITALPRESS) – Si è svolta a Roma la nuova edizione de L’Italia che Abiteremo by Remind presso la Sala Biblioteca a Palazzo INAIL. L’incontro, promosso da Remind (Associazione delle Buone Pratiche dei Settori Produttivi della Nazione), rappresenta un momento di riflessione dedicato al presente e al futuro delle città, delle periferie e dei territori, in un contesto di profonda trasformazione dei luoghi dove le persone vivono, operano e transitano. Con il contrib",0.0598609188122035,0.9187419435246876,"dei, le, dell, da, al, si, euro, regionale, alla, nel, regione, territorio",topic utile: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T09-TOP_WEIGHT-03,57786,9,top_weight,3,vocedimantova.it,2026-07-08,Crisafi (Remind) “Costruiamo insieme l’Italia che abiteremo” | la Voce Di Mantova,https://vocedimantova.it/italia-mondo/crisafi-remind-costruiamo-insieme-litalia-che-abiteremo/,"ROMA (ITALPRESS) – Si è svolta a Roma la nuova edizione de L’Italia che Abiteremo by Remind presso la Sala Biblioteca a Palazzo INAIL. L’incontro, promosso da Remind (Associazione delle Buone Pratiche dei Settori Produttivi della Nazione), rappresenta un momento di riflessione dedicato al presente e al futuro delle città, delle periferie e dei territori, in un contesto di profonda trasformazione dei luoghi dove le persone vivono, operano e transitano. Con il contributo di esperti, decision-maker",0.0598019277922766,0.91838864620479,"dei, le, dell, da, al, si, euro, regionale, alla, nel, regione, territorio",topic utile: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T10-ARTIFACT_CHECK-01,85471,10,artifact_check,1,ilmessaggero.it,2026-04-30,Salvini: Sono sempre d’accordo con la Presidente del Consiglio,https://www.ilmessaggero.it/video/invista/salvini_sono_sempre_d_accordo_con_la_presidente_del_consiglio-9505339.html,"(Agenzia Vista) Roma, 30 aprile 2026 La conferenza stampa a Palazzo Chigi a termine del Consiglio dei Ministri. La Presidente del Consiglio Giorgia Meloni insieme ai Ministri Salvini e Foti ha presentato il Piano Casa. Fonte: Agenzia Vista / Alexander Jakhnagiev Dalla stessa sezione I VIDEO PIÙ VISTI Le più lette Cerca il tuo immobile all'asta",0.1488682390207747,0.986215508175864,"agenzia vista, agenzia, vista, jakhnagiev, alexander jakhnagiev, vista alexander, alexander, fonte agenzia, fonte, adv, meloni, vista roma",possibile artefatto: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
T11-ARTIFACT_CHECK-01,88126,11,artifact_check,1,gazzettadiparma.it,2026-06-17,"Tajani, 'venerdì riapre la nostra ambasciata a Teheran' - Gazzetta di Parma",https://www.gazzettadiparma.it/italia-mondo/2026/06/17/news/tajani-venerdi-riapre-la-nostra-ambasciata-a-teheran-950249/,"ROMA (ANSA) - ROMA, 17 GIU - ""Venerdì riapriranno i battenti della nostra ambasciata a Teheran"". Lo ha detto il ministro degli Esteri Antonio Tajani al Question Time (ANSA). © Riproduzione riservata Gazzetta di Parma Srl - P.I. 02361510346 - Codice SDI: M5UXCR1 © Gazzetta di Parma - Riproduzione riservata",0.1379258143477973,0.9998232896739616,"ansa, riproduzione riservata, riproduzione, riservata, gazzetta di, di parma, parma, ansa it, copyright ansa, riservata copyright, gazzetta, copyright",possibile artefatto: caso ad alto peso da verificare,R1,1.0,indipendente,,,,,,
