partito,layer,id,macrotema,quota
Lega / Salvini,Programmi,1,Politica estera e difesa,5.15
Lega / Salvini,Programmi,2,Unione europea,4.36
Lega / Salvini,Programmi,3,Istituzioni e assetto dello Stato,3.9
Lega / Salvini,Programmi,4,Economia e finanza pubblica,11.82
Lega / Salvini,Programmi,5,Lavoro e imprese,17.66
Lega / Salvini,Programmi,6,Welfare e pensioni,2.75
Lega / Salvini,Programmi,7,Sanità,6.54
Lega / Salvini,Programmi,8,Istruzione e ricerca,6.2
Lega / Salvini,Programmi,9,Ambiente ed energia,17.42
Lega / Salvini,Programmi,10,Immigrazione e cittadinanza,2.29
Lega / Salvini,Programmi,11,Sicurezza e criminalità,4.36
Lega / Salvini,Programmi,12,Diritti civili e società,2.75
Lega / Salvini,Programmi,13,Infrastrutture e territorio,11.24
Lega / Salvini,Programmi,14,Cultura e patrimonio,2.75
Lega / Salvini,Programmi,15,Sport,0.8
Lega / Salvini,Progetti di legge,1,Politica estera e difesa,4.98
Lega / Salvini,Progetti di legge,2,Unione europea,0.59
Lega / Salvini,Progetti di legge,3,Istituzioni e assetto dello Stato,11.71
Lega / Salvini,Progetti di legge,4,Economia e finanza pubblica,16.54
Lega / Salvini,Progetti di legge,5,Lavoro e imprese,10.69
Lega / Salvini,Progetti di legge,6,Welfare e pensioni,2.78
Lega / Salvini,Progetti di legge,7,Sanità,8.35
Lega / Salvini,Progetti di legge,8,Istruzione e ricerca,6.59
Lega / Salvini,Progetti di legge,9,Ambiente ed energia,8.35
Lega / Salvini,Progetti di legge,10,Immigrazione e cittadinanza,2.78
Lega / Salvini,Progetti di legge,11,Sicurezza e criminalità,10.98
Lega / Salvini,Progetti di legge,12,Diritti civili e società,3.37
Lega / Salvini,Progetti di legge,13,Infrastrutture e territorio,6.44
Lega / Salvini,Progetti di legge,14,Cultura e patrimonio,4.69
Lega / Salvini,Progetti di legge,15,Sport,1.17
Lega / Salvini,Stampa,1,Politica estera e difesa,11.3
Lega / Salvini,Stampa,2,Unione europea,5.15
Lega / Salvini,Stampa,3,Istituzioni e assetto dello Stato,13.27
Lega / Salvini,Stampa,4,Economia e finanza pubblica,4.47
Lega / Salvini,Stampa,5,Lavoro e imprese,9.78
Lega / Salvini,Stampa,6,Welfare e pensioni,1.36
Lega / Salvini,Stampa,7,Sanità,5.24
Lega / Salvini,Stampa,8,Istruzione e ricerca,3.67
Lega / Salvini,Stampa,9,Ambiente ed energia,6.74
Lega / Salvini,Stampa,10,Immigrazione e cittadinanza,3.33
Lega / Salvini,Stampa,11,Sicurezza e criminalità,8.32
Lega / Salvini,Stampa,12,Diritti civili e società,3.81
Lega / Salvini,Stampa,13,Infrastrutture e territorio,15.15
Lega / Salvini,Stampa,14,Cultura e patrimonio,4.71
Lega / Salvini,Stampa,15,Sport,3.7
M5S / Conte,Programmi,1,Politica estera e difesa,0.0
M5S / Conte,Programmi,2,Unione europea,0.0
M5S / Conte,Programmi,3,Istituzioni e assetto dello Stato,0.0
M5S / Conte,Programmi,4,Economia e finanza pubblica,20.0
M5S / Conte,Programmi,5,Lavoro e imprese,20.0
M5S / Conte,Programmi,6,Welfare e pensioni,0.0
M5S / Conte,Programmi,7,Sanità,0.0
M5S / Conte,Programmi,8,Istruzione e ricerca,0.0
M5S / Conte,Programmi,9,Ambiente ed energia,20.0
M5S / Conte,Programmi,10,Immigrazione e cittadinanza,10.0
M5S / Conte,Programmi,11,Sicurezza e criminalità,10.0
M5S / Conte,Programmi,12,Diritti civili e società,10.0
M5S / Conte,Programmi,13,Infrastrutture e territorio,0.0
M5S / Conte,Programmi,14,Cultura e patrimonio,10.0
M5S / Conte,Programmi,15,Sport,0.0
M5S / Conte,Progetti di legge,1,Politica estera e difesa,3.09
M5S / Conte,Progetti di legge,2,Unione europea,0.98
M5S / Conte,Progetti di legge,3,Istituzioni e assetto dello Stato,13.78
M5S / Conte,Progetti di legge,4,Economia e finanza pubblica,8.72
M5S / Conte,Progetti di legge,5,Lavoro e imprese,14.77
M5S / Conte,Progetti di legge,6,Welfare e pensioni,3.52
M5S / Conte,Progetti di legge,7,Sanità,13.92
M5S / Conte,Progetti di legge,8,Istruzione e ricerca,7.88
M5S / Conte,Progetti di legge,9,Ambiente ed energia,10.13
M5S / Conte,Progetti di legge,10,Immigrazione e cittadinanza,1.55
M5S / Conte,Progetti di legge,11,Sicurezza e criminalità,8.3
M5S / Conte,Progetti di legge,12,Diritti civili e società,3.8
M5S / Conte,Progetti di legge,13,Infrastrutture e territorio,5.2
M5S / Conte,Progetti di legge,14,Cultura e patrimonio,3.94
M5S / Conte,Progetti di legge,15,Sport,0.42
M5S / Conte,Stampa,1,Politica estera e difesa,22.77
M5S / Conte,Stampa,2,Unione europea,6.47
M5S / Conte,Stampa,3,Istituzioni e assetto dello Stato,22.56
M5S / Conte,Stampa,4,Economia e finanza pubblica,4.11
M5S / Conte,Stampa,5,Lavoro e imprese,10.85
M5S / Conte,Stampa,6,Welfare e pensioni,0.98
M5S / Conte,Stampa,7,Sanità,7.3
M5S / Conte,Stampa,8,Istruzione e ricerca,2.06
M5S / Conte,Stampa,9,Ambiente ed energia,5.63
M5S / Conte,Stampa,10,Immigrazione e cittadinanza,1.58
M5S / Conte,Stampa,11,Sicurezza e criminalità,5.78
M5S / Conte,Stampa,12,Diritti civili e società,2.09
M5S / Conte,Stampa,13,Infrastrutture e territorio,3.84
M5S / Conte,Stampa,14,Cultura e patrimonio,2.83
M5S / Conte,Stampa,15,Sport,1.16
Forza Italia / Tajani,Programmi,1,Politica estera e difesa,3.23
Forza Italia / Tajani,Programmi,2,Unione europea,0.0
Forza Italia / Tajani,Programmi,3,Istituzioni e assetto dello Stato,4.84
Forza Italia / Tajani,Programmi,4,Economia e finanza pubblica,17.73
Forza Italia / Tajani,Programmi,5,Lavoro e imprese,14.52
Forza Italia / Tajani,Programmi,6,Welfare e pensioni,3.23
Forza Italia / Tajani,Programmi,7,Sanità,16.13
Forza Italia / Tajani,Programmi,8,Istruzione e ricerca,6.45
Forza Italia / Tajani,Programmi,9,Ambiente ed energia,9.68
Forza Italia / Tajani,Programmi,10,Immigrazione e cittadinanza,0.0
Forza Italia / Tajani,Programmi,11,Sicurezza e criminalità,6.45
Forza Italia / Tajani,Programmi,12,Diritti civili e società,0.0
Forza Italia / Tajani,Programmi,13,Infrastrutture e territorio,9.68
Forza Italia / Tajani,Programmi,14,Cultura e patrimonio,4.84
Forza Italia / Tajani,Programmi,15,Sport,3.23
Forza Italia / Tajani,Progetti di legge,1,Politica estera e difesa,3.91
Forza Italia / Tajani,Progetti di legge,2,Unione europea,0.0
Forza Italia / Tajani,Progetti di legge,3,Istituzioni e assetto dello Stato,14.53
Forza Italia / Tajani,Progetti di legge,4,Economia e finanza pubblica,8.38
Forza Italia / Tajani,Progetti di legge,5,Lavoro e imprese,12.85
Forza Italia / Tajani,Progetti di legge,6,Welfare e pensioni,3.63
Forza Italia / Tajani,Progetti di legge,7,Sanità,10.34
Forza Italia / Tajani,Progetti di legge,8,Istruzione e ricerca,6.98
Forza Italia / Tajani,Progetti di legge,9,Ambiente ed energia,11.73
Forza Italia / Tajani,Progetti di legge,10,Immigrazione e cittadinanza,2.23
Forza Italia / Tajani,Progetti di legge,11,Sicurezza e criminalità,11.45
